Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,51400.000000,51400.000000,50000.000000,50100.000000,47383.285156,21866354
2020-04-21,49400.000000,49700.000000,48700.000000,49250.000000,46579.367188,27407543
2020-04-22,48700.000000,50000.000000,48350.000000,49850.000000,47146.832031,18613864
2020-04-23,50200.000000,50300.000000,49500.000000,49850.000000,47146.832031,18754442
2020-04-24,49650.000000,49750.000000,49000.000000,49350.000000,46673.949219,15618347
2020-04-27,49350.000000,50000.000000,49100.000000,49850.000000,47146.832031,14049471
2020-04-28,49850.000000,50100.000000,49300.000000,50100.000000,47383.285156,16095399
2020-04-29,49900.000000,50500.000000,49600.000000,50000.000000,47288.703125,15604533
2020-05-04,48900.000000,49100.000000,48500.000000,48500.000000,45870.042969,26083749
2020-05-06,49000.000000,49200.000000,48500.000000,49200.000000,46532.085938,18070225
2020-05-07,49200.000000,49300.000000,48700.000000,48800.000000,46153.773438,13884411
2020-05-08,49100.000000,49350.000000,48800.000000,48800.000000,46153.773438,15319700
2020-05-11,48900.000000,49250.000000,48300.000000,48400.000000,45775.468750,16357743
2020-05-12,48400.000000,48500.000000,47550.000000,47900.000000,45302.582031,23433590
2020-05-13,47250.000000,48550.000000,47200.000000,48550.000000,45917.335938,20223277
2020-05-14,47750.000000,48100.000000,47650.000000,48000.000000,45397.156250,19305974
2020-05-15,48400.000000,48450.000000,47700.000000,47850.000000,45255.289063,18463118
2020-05-18,47950.000000,49100.000000,47600.000000,48800.000000,46153.773438,20481981
2020-05-19,50100.000000,50500.000000,49700.000000,50300.000000,47572.433594,25168295
2020-05-20,50000.000000,50200.000000,49800.000000,50000.000000,47288.703125,14896899
2020-05-21,50300.000000,50400.000000,49850.000000,49950.000000,47241.417969,14949266
2020-05-22,49600.000000,49800.000000,48600.000000,48750.000000,46106.484375,19706284
2020-05-25,48750.000000,48900.000000,48450.000000,48850.000000,46201.066406,14337913
2020-05-26,48700.000000,49450.000000,48600.000000,49250.000000,46579.367188,15127490
2020-05-27,48950.000000,50000.000000,48800.000000,49900.000000,47194.128906,19548479
2020-05-28,51100.000000,51200.000000,49900.000000,50400.000000,47667.011719,31309318
2020-05-29,50000.000000,50700.000000,49700.000000,50700.000000,47950.746094,27596961
2020-06-01,50800.000000,51200.000000,50600.000000,51200.000000,48423.632813,16949183
2020-06-02,51000.000000,51500.000000,50800.000000,51400.000000,48612.789063,14247933
2020-06-03,51800.000000,55000.000000,51700.000000,54500.000000,51544.687500,49257814
2020-06-04,55800.000000,57000.000000,54600.000000,54600.000000,51639.269531,40220334
2020-06-05,54400.000000,55900.000000,54000.000000,55500.000000,52490.460938,22743629
2020-06-08,56400.000000,56500.000000,54700.000000,54900.000000,51922.996094,25634965
2020-06-09,55800.000000,56500.000000,54400.000000,55500.000000,52490.460938,23998831
2020-06-10,55100.000000,55900.000000,54900.000000,55400.000000,52395.882813,16742493
2020-06-11,54500.000000,55100.000000,53200.000000,54300.000000,51355.535156,33815123
2020-06-12,52100.000000,52800.000000,51500.000000,52300.000000,49463.988281,26976019
2020-06-15,51400.000000,52000.000000,49900.000000,49900.000000,47194.128906,28772921
2020-06-16,51200.000000,52100.000000,50600.000000,52100.000000,49274.824219,21808375
2020-06-17,52100.000000,52900.000000,51300.000000,52200.000000,49369.402344,26672595
2020-06-18,52200.000000,52300.000000,51600.000000,52300.000000,49463.988281,15982926
2020-06-19,52600.000000,52900.000000,51600.000000,52900.000000,50031.453125,18157985
2020-06-22,52000.000000,52600.000000,51800.000000,52000.000000,49180.250000,13801350
2020-06-23,52500.000000,52800.000000,51100.000000,51400.000000,48612.789063,18086152
2020-06-24,51900.000000,53900.000000,51600.000000,52900.000000,50031.453125,24519552
2020-06-25,52100.000000,53000.000000,51900.000000,51900.000000,49085.671875,18541624
2020-06-26,52800.000000,53900.000000,52200.000000,53300.000000,50409.750000,21575360
2020-06-29,52500.000000,53200.000000,52000.000000,52400.000000,49889.914063,17776925
2020-06-30,53900.000000,53900.000000,52800.000000,52800.000000,50270.746094,21157172
2020-07-01,53400.000000,53600.000000,52400.000000,52600.000000,50080.332031,16706143
2020-07-02,52100.000000,52900.000000,52100.000000,52900.000000,50365.964844,14142583
2020-07-03,53000.000000,53600.000000,52700.000000,53600.000000,51032.429688,11887868
2020-07-06,54000.000000,55000.000000,53800.000000,55000.000000,52365.363281,19856623
2020-07-07,55800.000000,55900.000000,53400.000000,53400.000000,50842.011719,30760032
2020-07-08,53600.000000,53900.000000,52900.000000,53000.000000,50461.175781,19664652
2020-07-09,53200.000000,53600.000000,52800.000000,52800.000000,50270.746094,17054850
2020-07-10,53100.000000,53200.000000,52300.000000,52700.000000,50175.539063,13714746
2020-07-13,53300.000000,53800.000000,53100.000000,53400.000000,50842.011719,12240188
2020-07-14,53700.000000,53800.000000,53200.000000,53800.000000,51222.851563,14269484
2020-07-15,54400.000000,55000.000000,54300.000000,54700.000000,52079.734375,24051450
2020-07-16,54800.000000,54800.000000,53800.000000,53800.000000,51222.851563,16779127
2020-07-17,54200.000000,54700.000000,54100.000000,54400.000000,51794.109375,10096174
2020-07-20,54800.000000,54800.000000,54000.000000,54200.000000,51603.687500,10507530
2020-07-21,55200.000000,55400.000000,54800.000000,55300.000000,52650.996094,18297260
2020-07-22,55300.000000,55500.000000,54700.000000,54700.000000,52079.734375,12885057
2020-07-23,54700.000000,54700.000000,53800.000000,54100.000000,51508.476563,16214932
2020-07-24,54000.000000,54400.000000,53700.000000,54200.000000,51603.687500,10994535
2020-07-27,54300.000000,55700.000000,54300.000000,55600.000000,52936.625000,21054421
2020-07-28,57000.000000,58800.000000,56400.000000,58600.000000,55792.917969,48431566
2020-07-29,60300.000000,60400.000000,58600.000000,59000.000000,56173.757813,36476611
2020-07-30,59700.000000,60100.000000,59000.000000,59000.000000,56173.757813,19285354
2020-07-31,59500.000000,59600.000000,57700.000000,57900.000000,55126.441406,21943345
2020-08-03,57800.000000,57900.000000,56700.000000,56800.000000,54079.140625,21158940
2020-08-04,57200.000000,58100.000000,57000.000000,57300.000000,54555.191406,19419694
2020-08-05,57300.000000,57500.000000,56300.000000,56900.000000,54174.347656,17739706
2020-08-06,57100.000000,58400.000000,57100.000000,58000.000000,55221.660156,21625874
2020-08-07,57900.000000,58400.000000,57100.000000,57500.000000,54745.617188,18751717
2020-08-10,57600.000000,58300.000000,57500.000000,57800.000000,55031.238281,17774291
2020-08-11,58000.000000,59500.000000,57800.000000,58200.000000,55412.078125,24907912
2020-08-12,58200.000000,59000.000000,57700.000000,59000.000000,56173.757813,18573934
