,CRI_YM,TAG,평일휴일,요일,시간대,성별,연령대, 건수합계 ,Unnamed: 8,Unnamed: 9,Unnamed: 10
541,202005,1,1,0,2,0,3,790,,,
542,202005,0,1,5,1,0,3,224,,,
543,201905,0,0,0,5,0,0,7,,,
544,202005,1,0,1,3,0,1,12357,,,
545,201905,1,1,5,3,0,4,147,,,
546,201905,0,0,1,1,1,2,358,,,
547,202105,0,0,3,2,1,0,193,,,
548,202105,0,0,3,3,1,3,4817,,,
549,202105,2,0,3,0,0,0,125,,,
550,202105,0,1,2,1,0,1,1707,,,
551,202005,0,1,4,2,1,1,665,,,
552,201905,0,1,3,2,0,1,190,,,
553,202005,0,1,0,4,0,4,188,,,
554,202005,1,0,6,4,1,4,39,,,
555,201905,0,1,4,2,1,1,1837,,,
556,201905,0,0,1,4,0,3,2324,,,
557,202105,0,1,4,1,0,3,303,,,
558,201905,1,1,5,3,1,2,482,,,
559,202005,0,1,6,1,0,3,10,,,
560,201905,0,0,3,4,0,0,492,,,
561,202005,1,0,6,2,1,3,190,,,
562,202005,0,0,3,1,1,0,693,,,
563,202105,0,0,0,2,0,2,2860,,,
564,202005,1,0,2,5,0,1,983,,,
565,202005,1,1,5,1,1,1,1767,,,
566,202005,0,0,3,5,0,4,9,,,
567,201905,0,0,3,1,1,4,8,,,
568,201905,1,1,2,3,1,2,134,,,
569,202005,0,1,6,0,0,1,59,,,
570,202105,1,0,2,0,0,1,82,,,
571,202105,0,0,2,0,1,3,12,,,
572,202005,0,0,1,3,1,2,2601,,,
573,202005,1,0,2,3,0,3,250,,,
574,202005,0,0,1,4,0,1,49,,,
575,201905,0,0,1,2,0,2,2374,,,
576,202105,0,0,6,5,1,4,175,,,
577,201905,0,1,5,2,1,1,629,,,
578,201905,0,0,1,0,1,4,10,,,
579,202005,1,1,0,3,0,1,652,,,
580,201905,1,0,0,2,1,1,1243,,,
581,202105,0,0,0,1,1,4,22,,,
582,201905,3,0,3,4,1,0,689,,,
583,202005,0,0,2,4,0,3,106,,,
584,201905,1,0,1,0,1,0,65,,,
585,202005,0,0,1,0,1,2,649,,,
586,202005,0,1,0,3,1,4,263,,,
587,202005,1,0,1,5,1,2,495,,,
588,201905,0,1,5,0,0,1,438,,,
589,202105,0,0,2,2,1,1,467,,,
590,202005,0,1,5,1,1,4,16,,,
591,201905,3,1,3,0,1,4,12,,,
592,202005,0,0,1,0,0,0,91,,,
593,202105,1,1,2,3,0,0,196,,,
594,201905,1,1,5,1,0,4,11,,,
595,202105,1,0,6,1,0,3,189,,,
